county_fips,measure,value
48107,no_highschool_share,0.30511099
48015,no_highschool_share,0.14935613
8077,no_highschool_share,0.10363758000000001
26085,no_highschool_share,0.19651797
26041,no_highschool_share,0.085978292
26089,no_highschool_share,0.057949752
26071,no_highschool_share,0.10828584
26141,no_highschool_share,0.13240452
26103,no_highschool_share,0.064539216
6003,no_highschool_share,0.095823094
6051,no_highschool_share,0.16226454
6025,no_highschool_share,0.35484394
6027,no_highschool_share,0.11875561
6063,no_highschool_share,0.10090249
8107,no_highschool_share,0.031080266
10003,no_highschool_share,0.10645838
10001,no_highschool_share,0.14789388
1003,no_highschool_share,0.10924706000000001
1071,no_highschool_share,0.2537792
8055,no_highschool_share,0.15314618
8001,no_highschool_share,0.18623164
8059,no_highschool_share,0.063000858
8005,no_highschool_share,0.085975453
8029,no_highschool_share,0.12228519
8049,no_highschool_share,0.056119062
8015,no_highschool_share,0.088634588
8065,no_highschool_share,0.13226536
6105,no_highschool_share,0.087436415
18175,no_highschool_share,0.19932325
18149,no_highschool_share,0.17774412
19003,no_highschool_share,0.096314326
17027,no_highschool_share,0.1126873
17003,no_highschool_share,0.2535395
18083,no_highschool_share,0.13819186
18099,no_highschool_share,0.15638609
18051,no_highschool_share,0.098855637
19185,no_highschool_share,0.11605723
13103,no_highschool_share,0.14844564
40077,no_highschool_share,0.15984002
40133,no_highschool_share,0.17734966
41017,no_highschool_share,0.069179043
41003,no_highschool_share,0.05408847
42099,no_highschool_share,0.13308141
45061,no_highschool_share,0.27231228
41015,no_highschool_share,0.086864769
41061,no_highschool_share,0.094080523
41055,no_highschool_share,0.075892858
15003,no_highschool_share,0.096509703
13319,no_highschool_share,0.20282131
13209,no_highschool_share,0.17741662
13317,no_highschool_share,0.23819387
16083,no_highschool_share,0.16290392
13241,no_highschool_share,0.14776719
13033,no_highschool_share,0.23140156
13261,no_highschool_share,0.23758973
16077,no_highschool_share,0.19744137
1073,no_highschool_share,0.12587884
1121,no_highschool_share,0.21101721
1001,no_highschool_share,0.14407776
1091,no_highschool_share,0.16287391
1041,no_highschool_share,0.23269714
32003,no_highschool_share,0.1609901
24035,no_highschool_share,0.082524419
35045,no_highschool_share,0.18396392
35055,no_highschool_share,0.1251817
36103,no_highschool_share,0.10149074
36119,no_highschool_share,0.12377944
2013,no_highschool_share,0.21521562
2164,no_highschool_share,0.13233458
36031,no_highschool_share,0.12547962
36025,no_highschool_share,0.13294591
